#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,https://www.earthscope.org/data/
TA|D46A|46.890999|-84.035698|353.0|Sault St. Marie, ON, CAN|2012-10-23T00:00:00|2014-09-07T23:59:59
TA|D47A|47.055801|-83.103798|498.0|Chapleau, ON, CAN|2012-10-25T00:00:00|2014-09-06T23:59:59
TA|D48A|47.174301|-81.807198|434.0|Paudash Township, ON, CAN|2012-10-27T00:00:00|2014-09-01T23:59:59
TA|D49A|47.272598|-81.356201|416.0|Beulah Township, ON, CAN|2012-10-31T00:00:00|2014-08-29T23:59:59
TA|D50A|47.166801|-79.841202|331.0|G1974 Best Township, ON, CAN|2012-10-19T00:00:00|2014-08-24T23:59:59
TA|D51A|47.090401|-79.373299|282.0|Lot 18 Range III Mazenod Township, QC, CAN|2012-10-23T00:00:00|2014-08-25T23:59:59
TA|D52A|46.976398|-78.411697|359.0|ZEK Kipawa Senerzegues Township, QC, CAN|2012-10-31T00:00:00|2014-08-26T23:59:59
TA|D53A|47.079498|-77.700104|347.0|Lac Vacive, Pontiac, Mrc, QC, CAN|2012-09-01T00:00:00|2014-09-16T23:59:59
TA|D54A|47.152|-76.656998|415.0|Lac Fusel, La Vallee-de-La-Gatineau, QC, CAN|2012-09-02T00:00:00|2014-09-17T23:59:59
TA|D55A|47.019001|-75.473198|331.0|Sainte-Anne-du-Lac, QC, CAN|2013-08-09T00:00:00|2015-06-30T23:59:59
TA|D56A|47.0485|-74.756798|421.0|ZEC Mazanza, Mont-Saint-Michel, QC, CAN|2013-07-29T00:00:00|2015-07-02T23:59:59
TA|D57A|47.0172|-73.887802|422.0|Chemin Vers le Barrage, Saint-Michel-Des-Saints, Q|2013-08-18T00:00:00|2015-07-16T23:59:59
TA|D58A|47.095402|-72.882599|398.0|Chemin du LacGrosbois, Trois-Rives, QC, CAN|2013-08-16T00:00:00|2015-07-22T23:59:59
TA|D59A|47.007301|-71.8358|204.0|Saint-Raymond, QC, CAN|2013-07-31T00:00:00|2015-07-24T23:59:59
TA|D60A|46.913898|-70.923698|40.0|Saint Jean D'Orleans, QC, CAN|2013-08-01T00:00:00|2015-07-23T23:59:59
TA|D61A|47.202202|-70.186798|146.0|St Aubert, Comte d'Islet, QC, CAN|2013-08-02T00:00:00|2015-07-27T23:59:59
TA|D62A|47.081902|-69.050102|189.0|Allapoint, Allagash, ME, USA|2013-10-08T00:00:00|2015-09-10T23:59:59
TA|D63A|47.036999|-68.106598|256.0|Stockholm, ME, USA|2013-09-19T00:00:00|2015-09-01T23:59:59
TA|E43A|46.375801|-86.995399|303.0|Lone Tree Farm, Eben Junction, MI, USA|2011-09-11T00:00:00|2013-11-26T23:59:59
TA|E44A|46.6199|-85.921402|282.0|Grand Marais Airport, Grand Marais, MI, USA|2011-09-21T00:00:00|2014-05-19T23:59:59
TA|E45A|46.3563|-85.177399|251.0|Wooded Hills, Hulbert, MI, USA|2011-09-20T00:00:00|2013-06-12T23:59:59
TA|E46A|46.366501|-84.306198|269.0|Sault Ste Marie, MI, USA|2012-11-12T00:00:00|2013-11-26T23:59:59
TA|E47A|46.4547|-83.277702|246.0|Iron Bridge, ON, CAN|2012-11-09T00:00:00|2014-09-09T23:59:59
TA|E48A|46.4809|-82.165298|347.0|Lockeyer, ON, CAN|2012-11-01T00:00:00|2014-09-02T23:59:59
TA|E50A|46.423199|-80.737801|242.0|Wahnapitae, ON, CAN|2012-11-01T00:00:00|2014-08-23T23:59:59
TA|E51A|46.533298|-79.492401|369.0|G1948 Merrick Township, ON, CAN|2012-10-21T00:00:00|2014-08-24T23:59:59
TA|E52A|46.285099|-78.656898|252.0|Mattawa, ON, CAN|2012-11-07T00:00:00|2014-08-23T23:59:59
TA|E53A|46.378399|-77.663803|355.0|Dumoine, Pontiac MRC, QC, CAN|2012-09-11T00:00:00|2014-09-11T23:59:59
TA|E54A|46.433899|-77.186897|277.0|Lac Daplat, Pontiac, MRC, QC, CAN|2012-09-09T00:00:00|2014-09-14T23:59:59
TA|E55A|46.4538|-76.057198|180.0|Montcerf-Lytton, QC, CAN|2013-07-28T00:00:00|2015-07-06T23:59:59
TA|E56A|46.543598|-75.034103|320.0|St. Veronique, QC, CAN|2013-07-30T00:00:00|2015-07-03T23:59:59
TA|E57A|46.411701|-74.147102|572.0|Chemin Saint Guillaume, Saint Donat, QC, CAN|2013-08-06T00:00:00|2015-07-04T23:59:59
TA|E58A|46.372101|-73.2771|233.0|La Victoria, QC, CAN|2013-07-30T00:00:00|2015-07-11T23:59:59
TA|E59A|46.480301|-72.510803|62.0|St. Maurice, QC, CAN|2013-07-30T00:00:00|2015-07-23T23:59:59
TA|E60A|46.3689|-71.446899|181.0|Ste Agathe de Lotbiniere, QC, CAN|2013-08-07T00:00:00|2015-07-25T23:59:59
TA|E61A|46.431198|-70.488998|527.0|Lac Etchemin, QC, CAN|2013-08-06T00:00:00|2015-07-25T23:59:59
TA|E62A|46.620098|-69.522697|356.0|Clayton Lake, ME, USA|2013-10-09T00:00:00|2015-09-11T23:59:59
TA|E63A|46.422001|-68.462303|238.0|Oxbow, ME, USA|2013-09-23T00:00:00|2015-09-08T23:59:59
TA|E64A|46.4184|-67.828499|190.0|Bridgewater, ME, USA|2013-09-18T00:00:00|2015-09-01T23:59:59
TA|F43A|45.831299|-87.169403|233.0|Flat Rock, Escanaba, MI, USA|2011-09-13T00:00:00|2013-06-11T23:59:59
TA|F44A|45.973701|-86.4226|234.0|Big Bay de Noc Black Bears, Cooks, MI, USA|2011-09-18T00:00:00|2013-06-11T23:59:59
TA|F45A|45.683701|-85.515602|173.0|CMU Biological Station, Beaver Island, MI, USA|2011-09-23T00:00:00|2014-07-22T23:59:59
TA|F46A|45.773701|-84.758598|198.0|Macinaw City Comets, Mackinaw City, MI, USA|2011-10-10T00:00:00|2013-06-12T23:59:59
